,RELIANCE_rsi_dma_crossover,RELIANCE_macd_crossover,RELIANCE_vwap_reversion,TCS_rsi_dma_crossover,TCS_macd_crossover,TCS_vwap_reversion,INFY_rsi_dma_crossover,INFY_macd_crossover,INFY_vwap_reversion
2025-06-09,100000.0,100000.0,100000.0,100000.0,88269.64,100000.0,100000.0,109721.87,100000.0
2025-06-10,100000.0,100000.0,100000.0,100000.0,87397.14,100000.0,100000.0,109173.77,100000.0
2025-06-11,100000.0,100000.0,100000.0,100000.0,86184.39,100000.0,100000.0,109248.11,100000.0
2025-06-12,100000.0,100000.0,100000.0,100000.0,84413.59,100000.0,100000.0,107972.36,100000.0
2025-06-13,100000.0,100000.0,100000.0,100000.0,84413.59,100000.0,100000.0,106024.4,100000.0
2025-06-16,100000.0,100000.0,100000.0,100000.0,84413.59,100000.0,100000.0,106539.79,100000.0
2025-06-17,100000.0,100000.0,100000.0,100000.0,84413.59,100000.0,100000.0,106539.79,100000.0
2025-06-18,100000.0,100000.0,100000.0,100000.0,84413.59,100000.0,100000.0,106539.79,100000.0
2025-06-19,100000.0,100000.0,100000.0,100000.0,84598.77,100000.0,100000.0,106539.79,100000.0
2025-06-20,100000.0,100000.0,100000.0,100000.0,86129.01,100000.0,100000.0,106539.79,100000.0
2025-06-23,100000.0,99957.24,100000.0,100000.0,85713.57,100000.0,100000.0,106539.79,100000.0
2025-06-24,100000.0,97363.62,100000.0,100000.0,83669.97,100000.0,100000.0,106539.79,100000.0
2025-06-25,100000.0,95645.34,100000.0,100000.0,83441.61,100000.0,100000.0,106539.79,100000.0
2025-06-26,100000.0,94082.54,100000.0,100000.0,83441.61,100000.0,100000.0,106539.79,100000.0
2025-06-27,100000.0,94082.54,100000.0,100000.0,83441.61,100000.0,100000.0,106539.79,100000.0
2025-06-30,100000.0,94082.54,100000.0,100000.0,83441.61,100000.0,100000.0,106539.79,100000.0
2025-07-01,100000.0,94082.54,100000.0,100000.0,83441.61,100000.0,100000.0,106539.79,100000.0
2025-07-02,100000.0,94082.54,100000.0,100000.0,83441.61,100000.0,100000.0,106539.79,100000.0
2025-07-03,100000.0,94082.54,100000.0,100000.0,83441.61,100000.0,100000.0,106539.79,100000.0
2025-07-04,100000.0,94082.54,100000.0,100000.0,83441.61,100000.0,100000.0,106539.79,100000.0
2025-07-07,100000.0,94082.54,100000.0,100000.0,83809.23,100000.0,100000.0,106539.79,100000.0
2025-07-08,100000.0,94684.64,100000.0,100000.0,83632.35,100000.0,100000.0,106539.79,100000.0
2025-07-09,100000.0,96554.93,100000.0,100000.0,85254.99,100000.0,100000.0,106539.79,100000.0
2025-07-10,100000.0,99787.64,100000.0,100000.0,82925.79,100000.0,100000.0,106539.79,100000.0
2025-07-11,100000.0,100862.78,100000.0,100000.0,83898.99,100000.0,100000.0,106539.79,100000.0
2025-07-14,100000.0,101621.48,100000.0,100000.0,83519.07,100000.0,100000.0,106539.79,100000.0
2025-07-15,100000.0,103285.49,100000.0,100000.0,81542.91,100000.0,100000.0,106539.79,100000.0
2025-07-16,100000.0,105167.93,100000.0,100000.0,80546.91,100000.0,100000.0,106539.79,100000.0
2025-07-17,100000.0,102526.25,100000.0,100000.0,80222.71,100000.0,100000.0,106539.79,100000.0
2025-07-18,100000.0,101588.27,100000.0,100000.0,80222.71,100000.0,100000.0,106539.79,100000.0
2025-07-21,100000.0,101109.29,100000.0,100000.0,80222.71,100000.0,100000.0,106539.79,100000.0
2025-07-22,100000.0,98732.75,100000.0,100000.0,80222.71,100000.0,100000.0,106539.79,100000.0
2025-07-23,100000.0,99121.01,100000.0,100000.0,80222.71,100000.0,100000.0,106539.79,100000.0
2025-07-24,100000.0,99540.05,100000.0,100000.0,80222.71,100000.0,100000.0,106539.79,100000.0
2025-07-25,100000.0,100469.12,100000.0,100000.0,80222.71,100000.0,100000.0,106539.79,100000.0
2025-07-28,100000.0,101511.59,100000.0,100000.0,80222.71,100000.0,100000.0,106539.79,100000.0
2025-07-29,100000.0,101383.61,100000.0,100000.0,80222.71,100000.0,100000.0,106539.79,100000.0
2025-07-30,100000.0,101281.55,100000.0,100000.0,81277.12,100000.0,100000.0,106539.79,100000.0
2025-07-31,100000.0,100270.67,100000.0,100000.0,80725.84,100000.0,100000.0,106539.79,100000.0
2025-08-01,100000.0,99287.12,100000.0,100000.0,79705.6,100000.0,100000.0,106539.79,100000.0
2025-08-04,100000.0,99287.12,100000.0,100000.0,79570.79,100000.0,100000.0,106539.79,100000.0
2025-08-05,100000.0,99287.12,100000.0,100000.0,79570.79,100000.0,100000.0,106539.79,100000.0
2025-08-06,100000.0,99287.12,100000.0,100000.0,79570.79,100000.0,100000.0,106539.79,100000.0
2025-08-07,100000.0,99287.12,100000.0,100000.0,79570.79,100000.0,100000.0,106539.79,100000.0
2025-08-08,100000.0,99287.12,100000.0,100000.0,79570.79,100000.0,100000.0,106539.79,100000.0
2025-08-11,100000.0,99287.12,100000.0,100000.0,79570.79,100000.0,100000.0,106539.79,100000.0
2025-08-12,100000.0,99287.12,100000.0,100000.0,79570.79,100000.0,100000.0,106539.79,98337.93
2025-08-13,100000.0,99287.12,100000.0,100000.0,79570.79,100000.0,100000.0,106539.79,99215.18
2025-08-14,100000.0,99287.12,100000.0,100000.0,79570.79,100000.0,100000.0,106539.79,97854.48
2025-08-15,100000.0,99287.12,100000.0,100000.0,79570.79,100000.0,100000.0,106539.79,95284.33
2025-08-18,100000.0,99287.12,100000.0,100000.0,79570.79,100000.0,100000.0,106539.79,93069.46
2025-08-19,100000.0,99287.12,100000.0,100000.0,79570.79,100000.0,100000.0,106539.79,93069.46
2025-08-20,100000.0,99287.12,100000.0,100000.0,79570.79,100000.0,100000.0,106539.79,93069.46
2025-08-21,100000.0,99287.12,100000.0,100000.0,79570.79,100000.0,100000.0,106539.79,93069.46
2025-08-22,100000.0,99287.12,100000.0,100000.0,79490.76,100000.0,100000.0,106539.79,93069.46
2025-08-25,100000.0,99287.12,100000.0,100000.0,77729.26,100000.0,100000.0,106539.79,93069.46
2025-08-26,100000.0,99287.12,100000.0,100000.0,77074.51,100000.0,100000.0,106539.79,93069.46
2025-08-27,100000.0,99287.12,100000.0,100000.0,77978.76,100000.0,100000.0,106539.79,93069.46
2025-08-28,100000.0,99287.12,100000.0,100000.0,76750.76,100000.0,100000.0,106539.79,93069.46
2025-08-29,100000.0,99287.12,100000.0,100000.0,75455.45,100000.0,100000.0,106539.79,93069.46
2025-09-01,100000.0,99287.12,100000.0,100000.0,75455.45,100000.0,100000.0,106539.79,93069.46
2025-09-02,100000.0,99287.12,100000.0,100000.0,75455.45,100000.0,100000.0,106539.79,93069.46
2025-09-03,100000.0,99287.12,100000.0,100000.0,75455.45,100000.0,100000.0,106539.79,93069.46
2025-09-04,100000.0,99287.12,100000.0,100000.0,76723.39,100000.0,100000.0,106539.79,93069.46
2025-09-05,100000.0,99287.12,100000.0,100000.0,77236.29,100000.0,100000.0,106539.79,93069.46
2025-09-08,100000.0,99287.12,100000.0,100000.0,76861.62,100000.0,100000.0,107676.22,93069.46
2025-09-09,100000.0,99287.12,100000.0,100000.0,76714.88,100000.0,100000.0,105531.7,93069.46
2025-09-10,100000.0,99287.12,100000.0,100000.0,76674.4,100000.0,100000.0,101917.11,93069.46
